,Channel_name,Title,Views,Likes,Comments,Published_date,Month,title_length,reaction
0,CodeWithHarry,5 Mind Blowing AI Tools You Wont Believe Existed (Use These) 🔥,85955,4694,1991,2023-07-09,Jul,62,6685
1,CodeWithHarry,Best Laptops to buy in 2023 (Buy these) 🔥 💻,109549,5236,709,2023-07-08,Jul,43,5945
2,CodeWithHarry,How to Actually Get a Job in Web Development (Get Hired) 👨‍💻,172848,12572,1250,2023-07-07,Jul,60,13822
3,CodeWithHarry,AWS Builders Online Series: Level up your Cloud Skills with AWS 🔥,29632,1319,169,2023-07-06,Jul,65,1488
4,CodeWithHarry,How to Adapt ChatGPT's Impact on Your Coding Journey 👩‍💻👨‍💻,68729,2953,262,2023-07-06,Jul,59,3215
5,CodeWithHarry,AI Workflow Automation | Automate all your tasks with this tool 🔥🔥,17370,880,87,2023-07-05,Jul,66,967
6,CodeWithHarry,Linux Cronjob Tutorial | Learn Linux Cronjobs 🔥,14405,613,130,2023-07-03,Jul,47,743
7,CodeWithHarry,MongoDB for Data Professionals | Data Analysis Tools in MongoDB 🔥,15135,599,99,2023-07-02,Jul,65,698
8,CodeWithHarry,Creating a Meme Coin Using Starton 🔥,16551,722,140,2023-07-01,Jul,36,862
9,CodeWithHarry,Lets Build a Stock Management System in using MongoDB 🍃 and Next.js 🔥,31179,1179,155,2023-06-30,Jun,69,1334
10,CodeWithHarry,A Dream Gadget for all Coders 😍😍😍,93297,4023,397,2023-06-29,Jun,33,4420
11,CodeWithHarry,50 Linux Commands Every Developer Must Know 🔥,30166,1499,176,2023-06-27,Jun,45,1675
12,CodeWithHarry,"UltraEdit Review: A powerful, flexible, and highly configurable text editing tool🔥",17232,657,126,2023-06-25,Jun,82,783
13,CodeWithHarry,HarryGPT - An AI Based Discord Bot 🔥 | Generative AI Series,37712,1526,181,2023-06-24,Jun,59,1707
14,CodeWithHarry,Web Scraping using Scrapy | Scrapy Tutorial + Storing Data to MongoDB 🍃,18423,588,144,2023-06-21,Jun,71,732
15,CodeWithHarry,"Lets Build a Dall-E Image Generator Using OpenAI, Flask & Replit | Generative AI Series 🔥",34089,1232,188,2023-06-19,Jun,89,1420
16,CodeWithHarry,Enabling HTTPS on Linode Using Certbot - A Step-by-Step Guide 🔥,15626,500,115,2023-06-16,Jun,63,615
17,CodeWithHarry,"Lets Build a Blog Using Appwrite Cloud, Next.js and Tailwind CSS - Step by Step Tutorial 🔥",21406,635,156,2023-06-14,Jun,90,791
18,CodeWithHarry,"Improving our Portfolio Website using HTML, CSS, JavaScript and React 🔥",67852,2374,243,2023-06-13,Jun,71,2617
19,CodeWithHarry,Clone any Audio using AI with this free tool (For Free) 🔥,96878,3927,282,2023-06-08,Jun,57,4209
20,CodeWithHarry,This Free AI Image generator will blow your mind!,258389,6045,342,2023-06-07,Jun,49,6387
21,CodeWithHarry,"Extracting Product Data from E-Commerce Website using Python, Requests and Live Proxies",23296,886,148,2023-06-05,Jun,87,1034
22,CodeWithHarry,"How to Host a Flask App on Linode for Production using uWSGI, Nginx & Ubuntu | Step-by-Step Tutorial",11785,410,96,2023-06-04,Jun,100,506
23,CodeWithHarry,Making money in Cybersecurity 💰,102848,9496,110,2023-06-04,Jun,31,9606
24,CodeWithHarry,How to Generate an NFT Collection using AI via Starton API?,20359,890,167,2023-06-02,Jun,59,1057
25,CodeWithHarry,"FastAPI Tutorial in Hindi | Lets build a Notes app using FastAPI, MongoDB & Bootstrap 🔥",35222,1501,160,2023-05-31,May,87,1661
26,CodeWithHarry,Hidden VS Code Feature 🔥,94781,8441,69,2023-05-28,May,24,8510
27,CodeWithHarry,Is Python really dead?? (The real truth) ☠️,292818,10747,823,2023-05-27,May,43,11570
28,CodeWithHarry,"Python Project: Creating a GUI Downloader Using Python, Requests and Tkinter 🔥",23204,931,171,2023-05-25,May,78,1102
29,CodeWithHarry,Your Browser is not Secure! (Here's Why),100349,5111,482,2023-05-21,May,40,5593
30,CodeWithHarry,"Personal Portfolio website using HTML, CSS and JavaScript (from scratch) 🔥",280406,8228,594,2023-05-19,May,74,8822
31,CodeWithHarry,"ChatGPT Clone using OpenAI, Flask, HTML, TailwindCSS, & MongoDB (Amazing Frontend Project) 🔥🔥",87463,3192,340,2023-05-17,May,93,3532
32,CodeWithHarry,Animate your Drawings (Killer AI) 🔥,94394,9595,89,2023-05-15,May,35,9684
33,CodeWithHarry,J.A.R.V.I.S - OpenAI + Python  Powered AI Desktop Assistant that Talks Like a Human (FROM SCRATCH!),227508,8429,799,2023-05-14,May,99,9228
34,CodeWithHarry,Web Scraping Tutorial Using Python | BeautifulSoup Tutorial 🔥,41125,1211,200,2023-05-12,May,61,1411
35,CodeWithHarry,MongoDB Tutorial in 1 Hour (2023) 🍃,124619,3676,405,2023-05-10,May,35,4081
36,CodeWithHarry,I Created this website using Pure Python | Anvil Tutorial 🔥,107300,3761,272,2023-05-09,May,59,4033
37,CodeWithHarry,AI For UpScaling Videos 🔥,90226,8344,92,2023-05-07,May,25,8436
38,CodeWithHarry,How to Deploy a High Traffic Django Application using WSGI,10765,359,110,2023-05-06,May,58,469
39,CodeWithHarry,Lets Build a Todos List App using Next.js 13 🔥,26833,973,163,2023-05-05,May,46,1136
40,CodeWithHarry,Google Says AI is Scary 💻,278554,23112,246,2023-05-04,May,25,23358
41,CodeWithHarry,Get your Laptop Battery Report 💻,105263,12237,102,2023-05-02,May,32,12339
42,CodeWithHarry,Windows PowerShell/Terminal Autocomplete,54351,4777,103,2023-05-01,May,40,4880
43,CodeWithHarry,Using MongoDB with Flask Applications (Efficiently),20335,626,243,2023-04-28,Apr,51,869
44,CodeWithHarry,Backend Average Salary 💰,175420,16419,167,2023-04-27,Apr,24,16586
45,CodeWithHarry,How to use TailwindCSS with Python Flask?,15538,565,145,2023-04-26,Apr,41,710
46,CodeWithHarry,Image Editing Website using Python Flask and OpenCV,27384,1106,179,2023-04-25,Apr,51,1285
47,CodeWithHarry,Salary of a Frontend Developer 💵,249251,23156,310,2023-04-25,Apr,32,23466
48,CodeWithHarry,VS Code Snippets Tutorial 👨‍💻,112996,10737,62,2023-04-21,Apr,29,10799
49,CodeWithHarry,Elon Musk's Interview Question 🏪,422456,30453,198,2023-04-20,Apr,32,30651
50,CodeWithHarry,Password generator in Python!,211206,19705,146,2023-04-15,Apr,29,19851
51,CodeWithHarry,VS Code Mouse Wheel Trick 🔥,112628,10697,125,2023-04-15,Apr,27,10822
52,CodeWithHarry,ChatGPT ❌,151583,12344,220,2023-04-14,Apr,9,12564
53,CodeWithHarry,ChatGPT fooled a human!,656216,47811,481,2023-04-13,Apr,23,48292
54,CodeWithHarry,How to Host Multiple Websites on a $5 Server (Step by Step Guide),35419,1147,330,2023-04-10,Apr,65,1477
55,CodeWithHarry,Learn Web Development Fast!,385988,43268,2108,2023-04-09,Apr,27,45376
56,CodeWithHarry,Exploring Requests Module in Python (Deepdive),25148,920,192,2023-04-08,Apr,46,1112
57,CodeWithHarry,5 Tricks of Google Search,172466,20637,107,2023-04-07,Apr,25,20744
58,CodeWithHarry,Download More Ram 💻,250373,21125,1121,2023-04-06,Apr,19,22246
59,CodeWithHarry,Quick and Easy Guide to Set up Your WordPress Blog in Minutes (Fastest Way),28954,1179,217,2023-04-06,Apr,75,1396
60,CodeWithHarry,ChatGPT is Good for Jobs!,140550,12570,83,2023-04-05,Apr,25,12653
61,CodeWithHarry,Aws Activate for Startups!,66142,5855,36,2023-04-04,Apr,26,5891
62,CodeWithHarry,Fake Windows Update 💻,186663,15213,237,2023-03-30,Mar,21,15450
63,CodeWithHarry,ChatGPT helped me create this KBC Quiz App (Watch me Build it),65726,2200,347,2023-03-29,Mar,62,2547
64,CodeWithHarry,Fastest Way to Learn React in 2023 🔥,257903,22441,1573,2023-03-28,Mar,36,24014
65,CodeWithHarry,"AWS Activate: A Program to Support Startups, Founders, & Entrepreneurs  | Amazon Web Services",23139,935,122,2023-03-28,Mar,93,1057
66,CodeWithHarry,Python Crash Course in Hindi | 5 Python Projects | Complete Python Tutorial,400030,14077,1533,2023-03-25,Mar,75,15610
67,CodeWithHarry,Python vs JavaScript: Which one to Learn in 2023? (For Jobs),335572,13303,914,2023-03-18,Mar,60,14217
68,CodeWithHarry,"Choosing the Right Python Web Framework: Django, Flask, or FastAPI?",76074,2582,316,2023-03-15,Mar,67,2898
69,CodeWithHarry,What is a Graph Database? | Getting Started with Neo4j AuraDB: A Step-by-Step Tutorial 🔥,22443,991,162,2023-03-14,Mar,88,1153
70,CodeWithHarry,Free Office 365 on your Own Server (NextCloud Tutorial),24610,984,117,2023-03-13,Mar,55,1101
71,CodeWithHarry,Stop Saving Your Passwords like this (Use Passky Instead!),25069,1204,168,2023-03-12,Mar,58,1372
72,CodeWithHarry,Install VS Code/FireFox like Apps on Ubuntu Server (Get 1GBPS Internet Speed for Free),31029,1064,160,2023-03-11,Mar,86,1224
73,CodeWithHarry,I Created Discord like Calling App in 5 Minutes... (With Custom Domain),33748,1395,146,2023-03-10,Mar,71,1541
74,CodeWithHarry,Docker Made Easy: Discover the Magic of Yacht,21511,806,182,2023-03-08,Mar,45,988
75,CodeWithHarry,Conclusion and Where to go from here | Python Tutorial - Day #100,99287,4784,737,2023-03-07,Mar,65,5521
76,CodeWithHarry,Exercise 11: Solution + Shoutouts - Desktop Notification System | Python Tutorial - Day #99,29495,770,195,2023-03-06,Mar,91,965
77,CodeWithHarry,MultiProcessing in Python | Python Tutorial - Day #98,28448,925,110,2023-03-05,Mar,53,1035
